CD Number,Company Name,Country Name,DUNS
159944,"Carmi Flavor & Fragarance Co., Inc.",CA,202012998
402413,Geomed Medizin-Technik Gmbh & Co.,DE,316151174
572434,SAS Les Vignerons de Tutiac,FR,570496141
731828,Erawan Food Public Company Limited,TH,661732165
355996,"Queserias Villa Vieja, S.L. / Queserias Villavieja S.L. (Calasparra)",ES,473952968
257580,Best Cooking Pulses Inc.,CA,248529489
241063,Bouchard L'Escant NV,BE,397647355
237574,AB Mauri India Pvt. Ltd.,IN,858888911
88005,"Sea Star Seafoods, Ltd.",CA,243402971
743942,Establecimientos Colonia S.A.,UY,966025322
239438,Vina Cono Sur S.A. / Cono Sur Vineyards & Winery,CL,980728559
282438,Grabower Suesswaren GmbH,DE,312993009
28515,Loius De Schouwer,BE,
697635,Acoem AB,SE,355171737
534550,Aceites La Masia,ES,
379984,"Industrias Racor S.A. de C.V. / Templanza, S.A. De C.v.",SV,851264093
747473,Simple Symbol (Holdings) Ltd.,CN,
747596,Shantou Sunrise-Foods Limited Company,CN,547021910
270714,F.lli Sacla' S.p.A.,IT,428710446
79504,Brousse Vergez S.A.,FR,549792070
87634,Toptrade Quality Food Products B.V.,NL,418745949
85899,Pescaradolc SRL,IT,541749107
313133,"La Bomboniera, Inc.",US,805657855
564967,Agricola Chanaral Bajo Norte S.A.,CL,952815842
126437,St. Andrews Smoky Delicacies S.A.,CL,
288673,Delba Backbetrieb GmbH / Schneider Brot GmbH,DE,319067567
658327,Shan Foods (Private) Limited,PK,645673794
436159,Buram GmbH,DE,341000533
587266,Huang Shun Corporation,US,854856368
630766,S.A. Ajinomoto Omnichem N.V. Omnichem Div. / Ajinomoto Omnichem NaturalSpecialities,BE,370080699
535004,Lonza Braine S.A. / Polypeptide SA,BE,763929036
580093,"American Pharmaceuticals And Cosmetics, Inc. / American Pharmaceuticals & Cosmetics (AmPharmCo), Inc. / American Animal Health, Inc.",US,38023805
662579,Australia Lemon Myrtle Products Pty Ltd,AU,744013367
654326,"Suzhou Hope Tech Co., Ltd.",CN,527301681
104215,Khong Guan Biscuit Factory (S) Pte Ltd,SG,
530966,Herbapac SNC,FR,294545434
578962,"V. Thai Food Product Co., Ltd.",TH,660965174
693145,Agromar Industrial S.A. / Agromar Group,PE,934743691
758269,"Henan Nande Food Co., Ltd",CN,526915103
757866,"Dongguan Tinshine Tin Box Co.,Ltd.",CN,
573724,Sociedad Agricola Hacienda Mal Paso SpA,CL,980415962
794664,Surlat Industrial S.A.,CL,980734888
340171,"Yixing-Union Biochemical Co., Ltd.",CN,544316265
448246,"Jiangsu Hongyuan Pharmaceutical Co., Ltd.",CN,421089578
361317,Gastronomia Beltrami,IT,
749670,Vsf Sdn Bhd,MY,865775613
596226,Gotera S.A. de C.V,SV,851263269
693631,Heilongjiang Hengyuan Food Co. Ltd,CN,530435544
75923,Acetaia Leonardi Srl,IT,440076151
329263,DakLak September Second Import - Export Limited Company,VN,555230382
319158,Danisco USA Inc,US,113828078
777479,NHC Foods Limited,IN,650810430
408882,Dabur India Ltd.,IN,650636272
419518,Divis Laboratories Limited,IN,676446492
664302,K+S Kali GmbH,DE,507531213
650717,Neogen Corporation,US,
655610,"Reephos Chemical (LYG) Co., Ltd.",CN,545320231
23989,Dawnfresh Seafoods Limited,UK,212437453
261089,Frantoio Franci Snc,IT,513954714
232577,Gits Food Products Pvt. Ltd.,IN,863116320
84193,Lordi S.A.,ES,466792520
125831,Fruchincha / Corporacion Fruticola de Chincha S.A.C.,PE,934062899
684982,Vantage Organic Foods Pvt. Ltd.,IN,863357822
656523,"Hubei Niusida Food Co., Ltd.",CN,543061146
580631,"Zigui County QuGu Food Co., Ltd.",CN,529654049
234038,AL Nakhil Co.,LB,
64459,Jacquot- Group Cemoi S.A.,FR,394311138
795486,Exproam Comercio de Produtos da Amazonia Ltda.,BR,897289951
583854,Bayer Bitterfeld GmbH / Bayer AG,DE,330908898
581947,Topiderm Inc.,US,49121643
321077,"SinoSweet Co., Ltd.",CN,527689660
357645,Galletti Di Galletti Aurelio & C. SNC,IT,436791982
751885,Food Service Srl,IT,338719406
449774,Foodchem International Corporation,CN,527892588
576191,Binh Thuan Fruits And Greens JSC,VN,555369623
778,"Shantou Longfeng Foodstuff Co., Ltd",CN,
287182,"Shanghai Guan Sheng Yuan International Trade Co., Ltd.",CN,
649321,Acetaia Giuseppe Cremonini Srl,IT,338408556
110840,Saxon Chocolates Corporation,CA,204197545
759485,Azienda Agricola Zamparelli,IT,338782786
260901,Otay Mesa Repackers & Distributors Inc.,US,879723166
748322,Guarani S.A. - Unidade Mandu,BR,901615261
771941,"Blue Ocean of Colorado, Inc.",US,167902522
181401,"Scientific Protein Laboratories, Inc. - SPL",US,65240319
581000,Multi Food Industries Private Limited,PK,645673901
46100,"Williston Peanuts, Inc.",US,55609184
565120,Villa Andina SAC BIC,PE,934055432
707865,"Fortune Expert Cosmetic Co., Ltd",CN,526005265
316687,Assia Chemical Industries Ltd. - Teva Tech Site,IL,649323474
639782,Fondel Chemicals Ltd.,CA,201786790
76033,Bartolini Emilio Frantoio Oleario Snc,IT,436249961
363878,Aloha S.R.L.,IT,
752501,Golosita dal 1885 S.p.A.,IT,434171336
238393,Al Kanater Sal,LB,559866032
758402,So Good SA,BE,
81390,Elledi S.p.A.,IT,
83899,Kras Food Industry / Kras dd,HR,364719430
